date,BDI,BCI,BPI,BSI,BHSI
2025-03-05,1820.0,2980.0,2050.0,1490.0,905.0
2025-03-12,1845.5,3015.3,2072.8,1511.7,912.4
2025-03-19,1871.2,3048.1,2094.9,1528.3,920.1
2025-03-26,1898.4,3076.5,2115.6,1544.2,928.7
2025-04-02,1925.7,3104.8,2135.1,1559.8,937.2
2025-04-09,1952.9,3131.7,2153.4,1575.1,945.9
2025-04-16,1979.3,3157.2,2170.6,1589.8,954.3
2025-04-23,2005.1,3181.5,2186.8,1603.9,962.5
2025-04-30,2029.6,3204.4,2202.0,1617.3,970.4
2025-05-07,2052.9,3225.8,2216.2,1630.1,977.9
2025-05-14,2074.5,3245.8,2229.3,1642.2,985.0
2025-05-21,2094.5,3264.2,2241.3,1653.6,991.7
2025-05-28,2112.6,3281.1,2252.2,1664.2,997.9
2025-06-04,2128.8,3296.3,2261.9,1674.0,1003.6
2025-06-11,2143.0,3309.9,2270.4,1683.0,1008.8
2025-06-18,2155.1,3321.8,2277.6,1691.2,1013.4
2025-06-25,2165.0,3331.9,2283.6,1698.5,1017.4
2025-07-02,2172.6,3340.3,2288.3,1705.0,1020.8
2025-07-09,2177.9,3347.0,2291.7,1710.5,1023.5
2025-07-16,2180.8,3351.9,2293.7,1715.1,1025.5
2025-07-23,2181.3,3355.1,2294.4,1718.8,1026.8
2025-07-30,2179.3,3356.6,2293.7,1721.5,1027.4
2025-08-06,2174.9,3356.3,2291.7,1723.3,1027.3
2025-08-13,2168.1,3354.3,2288.3,1724.1,1026.4
2025-08-20,2158.8,3350.6,2283.6,1724.0,1024.8
2025-08-27,2147.2,3345.2,2277.6,1722.9,1022.5
2025-09-03,2133.2,3338.1,2270.4,1720.9,1019.5
2025-09-10,2117.0,3329.4,2261.9,1718.0,1015.8
2025-09-17,2098.6,3319.2,2252.2,1714.2,1011.4
2025-09-24,2078.0,3307.3,2241.3,1709.5,1006.3
2025-10-01,2055.4,3294.0,2229.3,1703.9,1000.6
2025-10-08,2030.8,3279.2,2216.2,1697.4,994.3
2025-10-15,2004.3,3263.0,2202.0,1690.1,987.4
2025-10-22,1976.0,3245.4,2186.8,1682.0,979.9
2025-10-29,1945.9,3226.4,2170.6,1673.0,971.9
2025-11-05,1914.3,3206.1,2153.4,1663.2,963.4
2025-11-12,1881.0,3184.6,2135.1,1652.6,954.4
2025-11-19,1846.4,3161.9,2116.0,1641.3,945.0
2025-11-26,1810.3,3138.1,2096.1,1629.2,935.2
2025-12-03,1772.9,3113.2,2075.4,1616.5,925.1
2025-12-10,1734.4,3087.4,2053.9,1603.0,914.6
2025-12-17,1694.8,3060.7,2031.8,1588.8,903.9
2025-12-24,1654.2,3033.2,2008.9,1574.0,892.9
2025-12-31,1612.7,3004.9,1985.5,1558.6,881.7
2026-01-07,1570.4,2975.8,1961.4,1542.6,870.3
2026-01-14,1527.4,2946.0,1936.9,1526.1,858.8
2026-01-21,1550.8,2970.5,1955.2,1540.4,867.4
2026-01-28,1580.6,3000.3,1976.1,1556.7,877.0
2026-02-04,1615.2,3032.5,1999.0,1574.3,887.6
2026-02-11,1653.4,3066.8,2023.7,1592.9,899.1
2026-02-18,1693.9,3102.5,2049.6,1612.2,911.1
2026-02-25,1735.6,3138.8,2075.8,1631.7,923.3
2026-03-04,1777.4,3175.0,2101.8,1651.2,935.6
2026-03-11,1818.4,3210.4,2127.0,1670.0,947.4
2026-03-18,1857.8,3244.3,2150.9,1687.8,958.5
2026-03-25,1895.1,3276.2,2173.0,1704.2,968.6
2026-04-01,1929.7,3305.7,2192.9,1719.0,977.4
2026-04-08,1961.3,3332.6,2210.4,1731.9,984.9
2026-04-15,1989.6,3356.5,2225.3,1742.7,991.0
2026-04-22,2014.3,3377.1,2237.5,1751.3,995.6
