rank,file,roi_score,palette_redecls,inline_divs,unsafe_html,random_calls,imports_styles,loc
1,tab_equipment.py,57.5,0,36,43,0,1,2265
2,tab_portfolio.py,33.5,0,2,15,12,1,916
3,tab_booking.py,25.5,0,3,9,9,1,567
4,tab_eta.py,19.5,0,0,7,8,1,629
5,tab_routes.py,18.5,0,0,9,7,1,641
6,tab_emerging_routes.py,18.0,0,13,10,0,1,561
7,tab_monte_carlo.py,17.5,0,7,9,3,1,677
8,tab_options.py,17.5,0,8,15,1,1,574
9,tab_port_demand.py,17.5,0,12,11,0,1,497
10,tab_bunker.py,17.0,0,0,10,6,1,688
11,tab_visibility.py,16.5,0,13,7,0,1,462
12,tab_live_feed.py,16.0,0,0,8,6,1,677
13,tab_indices.py,14.5,0,3,7,4,1,959
14,tab_data_health.py,13.5,0,0,7,5,1,732
15,tab_deep_dive.py,13.0,0,0,14,3,1,917
16,tab_supply_chain.py,13.0,0,0,10,4,1,769
17,tab_markets.py,12.0,0,0,8,4,1,535
18,tab_finance.py,11.5,0,0,23,0,1,1884
19,tab_report.py,11.0,0,1,20,0,1,715
20,tab_alpha.py,11.0,0,0,6,4,1,647
21,tab_scorecard.py,10.5,0,0,9,3,1,811
22,tab_attribution.py,10.5,0,0,1,5,1,559
23,tab_compliance.py,9.5,0,0,19,0,1,964
24,tab_congestion.py,9.5,0,0,7,3,1,539
25,tab_risk_matrix.py,8.5,0,0,1,4,1,739
26,tab_trade_war.py,8.5,0,0,17,0,1,583
27,tab_fundamentals.py,8.0,0,3,10,0,1,660
28,tab_ecommerce.py,8.0,0,0,16,0,1,649
29,tab_overview.py,7.5,0,2,11,0,1,669
30,tab_chokepoints.py,6.5,0,1,11,0,1,800
31,tab_intermodal.py,6.5,0,0,13,0,1,733
32,tab_results.py,6.5,0,0,9,1,1,638
33,tab_macro.py,6.5,0,0,13,0,1,598
34,tab_network.py,6.5,0,2,9,0,1,532
35,tab_derivatives.py,6.0,0,0,12,0,1,672
36,tab_fleet.py,6.0,0,0,12,0,1,662
37,tab_cycle.py,5.5,0,0,7,1,1,679
38,tab_carriers.py,5.5,0,0,11,0,1,670
39,tab_scenarios.py,5.0,0,0,6,1,1,563
40,tab_weather.py,5.0,0,1,8,0,1,503
41,tab_backtest.py,4.5,0,0,9,0,1,615
42,tab_cargo.py,4.5,0,0,9,0,1,454
43,tab_sustainability.py,4.0,0,0,8,0,1,576
44,tab_port_monitor.py,3.5,0,0,7,0,1,503
45,tab_bellwethers.py,3.5,0,0,7,0,1,316
46,tab_geopolitical.py,3.0,0,0,6,0,1,889
47,tab_sector.py,2.5,0,0,5,0,1,421
48,tab_assistant.py,2.0,0,0,4,0,1,715
49,tab_news.py,2.0,0,0,4,0,1,675
50,tab_vessel_map.py,1.5,0,0,3,0,1,629
51,tab_commentary.py,1.5,0,0,3,0,1,376
52,tab_alerts.py,0.0,0,0,0,0,1,828
53,tab_trade_flows.py,0.0,0,0,0,0,1,530
54,tab_rate_analytics.py,0.0,0,0,0,0,1,231
